Ground state energy = 26531.92 cm^-1
Max intensity = 0.021630
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
   449       3944.73    0.00000e+00    0.0006616    0.0000004    0.00002024    1.388618161559069e-01
   451       3956.05    0.00000e+00    0.0008804    0.0000008    0.00003583    1.389134301807058e-01
   452       3956.22    0.00000e+00    0.0008869    0.0000008    0.00003636    1.389142061055253e-01
   454       3959.08    0.00000e+00    0.0008012    0.0000006    0.00002968    1.389272051240976e-01
   456       3964.85    0.00000e+00    0.0089852    0.0000807    0.00373251    1.389535308752680e-01
   458       3968.43    0.00000e+00    0.0030157    0.0000091    0.00042044    1.389698071463853e-01
   459       3969.52    0.00000e+00    0.0035076    0.0000123    0.00056880    1.389747650465391e-01
   461       3975.42    0.00000e+00    0.0010083    0.0000010    0.00004701    1.390016551526533e-01
   463       3978.12    0.00000e+00    0.0088226    0.0000778    0.00359863    1.390139835170703e-01
   465       3982.36    0.00000e+00    0.0042467    0.0000180    0.00083379    1.390332678806097e-01
   466       3985.65    0.00000e+00    0.0030616    0.0000094    0.00043335    1.390482686387155e-01
   467       3990.43    0.00000e+00    0.0250845    0.0006292    0.02909063    1.390700765204276e-01
   470       3995.30    0.00000e+00    0.0009172    0.0000008    0.00003890    1.390922519704194e-01
   472       4006.89    0.00000e+00    0.0016516    0.0000027    0.00012611    1.391450344862889e-01
   474       4010.37    0.00000e+00    0.0021959    0.0000048    0.00022293    1.391609150577935e-01
   477       4013.14    0.00000e+00    0.0004861    0.0000002    0.00001092    1.391735458957766e-01
   479       4018.05    0.00000e+00    0.0010983    0.0000012    0.00005577    1.391959277328697e-01
   480       4019.97    0.00000e+00    0.0043411    0.0000188    0.00087126    1.392046579117038e-01
   481       4022.05    0.00000e+00    0.0060448    0.0000365    0.00168927    1.392141326483891e-01
   482       4029.17    0.00000e+00    0.0054409    0.0000296    0.00136860    1.392465568302216e-01
   483       4036.20    0.00000e+00    0.0023241    0.0000054    0.00024972    1.392785940612944e-01
   486       4043.62    0.00000e+00    0.0070977    0.0000504    0.00232902    1.393124096225898e-01
   487       4050.93    0.00000e+00    0.0003935    0.0000002    0.00000716    1.393457171078642e-01
   488       4051.52    0.00000e+00    0.0317317    0.0010069    0.04655083    1.393484093385864e-01
   489       4056.57    0.00000e+00    0.0149180    0.0002225    0.01028874    1.393714108009283e-01
   490       4056.84    0.00000e+00    0.0008866    0.0000008    0.00003634    1.393726401437604e-01
   491       4056.98    0.00000e+00    0.0023403    0.0000055    0.00025322    1.393732902321879e-01
   493       4059.96    0.00000e+00    0.0069688    0.0000486    0.00224521    1.393868386925475e-01
   495       4063.82    0.00000e+00    0.0021056    0.0000044    0.00020496    1.394044659604119e-01
   496       4064.89    0.00000e+00    0.0095760    0.0000917    0.00423944    1.394093191876124e-01
   497       4067.12    0.00000e+00    0.0073250    0.0000537    0.00248058    1.394194618618824e-01
   499       4068.99    0.00000e+00    0.0015548    0.0000024    0.00011176    1.394280092053678e-01
   502       4075.94    0.00000e+00    0.0205485    0.0004222    0.01952104    1.394596541030826e-01
   503       4076.05    0.00000e+00    0.0042538    0.0000181    0.00083657    1.394601690905521e-01
   506       4085.09    0.00000e+00    0.0008982    0.0000008    0.00003730    1.395013468219842e-01
   507       4085.84    0.00000e+00    0.0013484    0.0000018    0.00008405    1.395047890989818e-01
   510       4090.34    0.00000e+00    0.0088357    0.0000781    0.00360932    1.395252883359132e-01
   512       4093.09    0.00000e+00    0.0004620    0.0000002    0.00000987    1.395378014070920e-01
   515       4104.74    0.00000e+00    0.0011118    0.0000012    0.00005715    1.395909097732473e-01
   517       4107.49    0.00000e+00    0.0027143    0.0000074    0.00034061    1.396034456273106e-01
   518       4107.63    0.00000e+00    0.0048505    0.0000235    0.00108771    1.396040449178197e-01
   519       4108.20    0.00000e+00    0.0005480    0.0000003    0.00001388    1.396066590406419e-01
   520       4111.67    0.00000e+00    0.0003829    0.0000001    0.00000678    1.396224532279220e-01
   521       4114.92    0.00000e+00    0.0073155    0.0000535    0.00247419    1.396372876599941e-01
   523       4123.61    0.00000e+00    0.0005158    0.0000003    0.00001230    1.396768881363074e-01
   524       4123.68    0.00000e+00    0.0011136    0.0000012    0.00005733    1.396771781208256e-01
   525       4130.93    0.00000e+00    0.0008183    0.0000007    0.00003095    1.397102293898955e-01
   526       4132.82    0.00000e+00    0.0086372    0.0000746    0.00344898    1.397188169672368e-01
   527       4134.32    0.00000e+00    0.0011753    0.0000014    0.00006386    1.397256482841609e-01
   528       4137.46    0.00000e+00    0.0014478    0.0000021    0.00009691    1.397399948915576e-01
   529       4140.91    0.00000e+00    0.0146827    0.0002156    0.00996669    1.397556915192315e-01
   532       4146.72    0.00000e+00    0.0007397    0.0000005    0.00002530    1.397821802571425e-01
   533       4153.13    0.00000e+00    0.0357718    0.0012796    0.05915925    1.398113870610732e-01
   534       4153.70    0.00000e+00    0.0419982    0.0017638    0.08154606    1.398139740522310e-01
   535       4161.46    0.00000e+00    0.0003412    0.0000001    0.00000538    1.398493335174991e-01
   536       4163.69    0.00000e+00    0.0115169    0.0001326    0.00613215    1.398594844165859e-01
   537       4164.30    0.00000e+00    0.0745869    0.0055632    0.25719763    1.398622657889106e-01
   539       4171.81    0.00000e+00    0.0183021    0.0003350    0.01548612    1.398964829544639e-01
   540       4173.30    0.00000e+00    0.0011104    0.0000012    0.00005700    1.399032739275333e-01
   541       4173.58    0.00000e+00    0.0005204    0.0000003    0.00001252    1.399045685258483e-01
   542       4174.95    0.00000e+00    0.0081964    0.0000672    0.00310591    1.399107787359934e-01
