Ground state energy = 26989.37 cm^-1
Max intensity = 0.003227
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized intensity
  1169       3836.30       0.000000     0.001580     0.000002     0.000774
  1170       3839.62       0.000000     0.002192     0.000005     0.001489
  1171       3841.27       0.000000     0.003230     0.000010     0.003233
  1172       3845.06       0.000000     0.006498     0.000042     0.013085
  1173       3848.72       0.000000     0.013771     0.000190     0.058765
  1174       3849.94       0.000000     0.010043     0.000101     0.031251
  1175       3852.80       0.000000     0.014003     0.000196     0.060759
  1176       3853.93       0.000000     0.017885     0.000320     0.099114
  1177       3856.99       0.000000     0.003577     0.000013     0.003965
  1178       3858.77       0.000000     0.004376     0.000019     0.005935
  1179       3862.07       0.000000     0.010634     0.000113     0.035041
  1180       3866.52       0.000000     0.004271     0.000018     0.005651
  1181       3867.72       0.000000     0.003533     0.000012     0.003867
  1182       3871.15       0.000000     0.003386     0.000011     0.003552
  1183       3875.26       0.000000     0.001250     0.000002     0.000484
  1184       3878.49       0.000000     0.005072     0.000026     0.007971
  1185       3880.02       0.000000     0.003440     0.000012     0.003668
  1186       3882.68       0.000000     0.005230     0.000027     0.008475
  1187       3885.38       0.000000     0.002324     0.000005     0.001673
  1188       3887.86       0.000000     0.002391     0.000006     0.001772
  1189       3891.89       0.000000     0.006881     0.000047     0.014671
  1190       3893.23       0.000000     0.007379     0.000054     0.016870
  1191       3895.32       0.000000     0.011280     0.000127     0.039422
  1192       3898.29       0.000000     0.006431     0.000041     0.012814
  1193       3900.19       0.000000     0.005380     0.000029     0.008968
  1194       3903.80       0.000000     0.002468     0.000006     0.001887
  1195       3906.65       0.000000     0.005024     0.000025     0.007820
  1196       3908.64       0.000000     0.004355     0.000019     0.005877
  1197       3911.93       0.000000     0.003171     0.000010     0.003116
  1198       3913.64       0.000000     0.002877     0.000008     0.002566
  1199       3917.33       0.000000     0.008237     0.000068     0.021023
  1200       3920.24       0.000000     0.002062     0.000004     0.001317
  1201       3922.39       0.000000     0.005552     0.000031     0.009551
  1202       3925.67       0.000000     0.001780     0.000003     0.000982
  1203       3928.96       0.000000     0.008037     0.000065     0.020017
  1204       3931.57       0.000000     0.007347     0.000054     0.016725
  1205       3933.49       0.000000     0.004211     0.000018     0.005494
  1206       3937.05       0.000000     0.003211     0.000010     0.003196
  1207       3938.02       0.000000     0.005885     0.000035     0.010730
  1208       3943.39       0.000000     0.003183     0.000010     0.003140
