time-step,nac01,nac02,nac03,nac12,nac13,nac23,energy0,energy1,energy2,energy3
244,0.52104,0.690522,0.119142,1.20958,1.92061,0.535171,0.100511,0.239986,0.265283,0.325244
245,0.638905,0.6759,0.105214,0.960627,1.64102,0.378183,0.105898,0.239672,0.268143,0.326925
246,0.702351,0.690823,0.109534,0.931936,1.39757,0.27883,0.104869,0.237581,0.266098,0.324175
247,0.705177,0.723854,0.122658,0.992028,1.20222,0.23614,0.100075,0.233799,0.262066,0.319052
248,0.658325,0.814468,0.133242,1.04922,1.05789,0.236146,0.0974269,0.232523,0.262424,0.317362
249,0.583208,0.919329,0.137644,1.03981,1.00331,0.255411,0.0960993,0.233618,0.266457,0.31904
250,0.517355,0.965385,0.138507,0.966522,1.08371,0.271818,0.0908544,0.231573,0.266664,0.317852
251,0.470712,1.02905,0.139952,0.853438,1.31652,0.289638,0.0819621,0.224807,0.26158,0.311781
252,0.436192,1.12265,0.14201,0.740783,1.69302,0.304531,0.073009,0.216946,0.255125,0.303747
253,0.401559,1.16457,0.14208,0.678189,2.11366,0.327381,0.0674329,0.21379,0.251868,0.297876
254,0.354058,1.10234,0.139235,0.660676,2.357,0.389621,0.0652332,0.2159,0.252381,0.295132
255,0.287964,1.02481,0.134399,0.634925,2.22227,0.472557,0.06385,0.218122,0.252726,0.293143
256,0.221673,1.04173,0.131272,0.561718,1.798,0.508751,0.060527,0.215775,0.248883,0.289239
257,0.20037,1.22247,0.13553,0.499507,1.36693,0.482725,0.0571985,0.212286,0.243555,0.285802
258,0.229926,1.54849,0.143459,0.507701,1.0117,0.437828,0.0597487,0.216021,0.244668,0.2902
259,0.246992,1.88906,0.14877,0.618508,0.732088,0.426841,0.0685656,0.227646,0.253968,0.304107
